,glp,btc.b_price,weth_price,wbtc_price,wavax_price,mim_price,usdc_price,usdc.e_price,btc.b_size,btc.b_average,weth_size,weth_average,wbtc_size,wbtc_average,wavax_size,wavax_average,mim_pool,mim_usdg,btc.b_guaranteed,btc.b_pool,btc.b_reserved,btc.b_usdg,weth_guaranteed,weth_pool,weth_reserved,weth_usdg,wbtc_guaranteed,wbtc_pool,wbtc_reserved,wbtc_usdg,usdc.e_pool,usdc.e_reserved,usdc.e_usdg,wavax_guaranteed,wavax_pool,wavax_reserved,wavax_usdg,usdc_pool,usdc_reserved,usdc_usdg,mim_guaranteed,usdc.e_guaranteed,usdc_guaranteed,mim_reserved,interval,aum,glp_price
2024-10-04 00:00:00,23837037774646019208879099,60738.16,2349.1,60738.16,24.59,1.0,1.0,1.0,180506188158744835475000000000000,42380023791338164262660501681201981,3020680884643992897053976776078343,2641347170152345816299250960491333,208539837586403463000000000000000,60773566000000000000000000000000000,22142229388144395189612072446114000,25608706789631239851469755604600,15317771981405512854011,9936547344039731614834,10082480513014870415126153959160000000,30335759356.0,30332917760.0,10084230104999443563900355,115233115456095402304672274758698673,1334664423329029416312,83468807360437241577,3482782560219838917774806,128675116476413321405981382012934149,1506259389.0,350810229.0,882086714053389090851341,34428942250.0,355760787.0,31492358647285923061617,522564442436791119313181011315650010,69162994226354380175203,25502585591431469831210,1712453910213866628802680,6879507292870.0,12585723041.0,6854083545668043066505947,0,0,0,0,1537070762133703.0,22466990932508126614841413339185152000,0.9425244506011932
2024-10-04 00:01:00,23837037774646019208879099,60738.16,2349.1,60738.16,24.59,1.0,1.0,1.0,180506188158744835475000000000000,42380023791338164262660501681201981,3020680884643992897053976776078343,2641347170152345816299250960491333,208539837586403463000000000000000,60773566000000000000000000000000000,22142229388144395189612072446114000,25608706789631239851469755604600,15317771981405512854011,9936547344039731614834,10082480513014870415126153959160000000,30335759356.0,30332917760.0,10084230104999443563900355,115233115456095402304672274758698673,1334664423329029416312,83468807360437241577,3482782560219838917774806,128675116476413321405981382012934149,1506259389.0,350810229.0,882086714053389090851341,34428942250.0,355760787.0,31492358647285923061617,522564442436791119313181011315650010,69162994226354380175203,25502585591431469831210,1712453910213866628802680,6879507292870.0,12585723041.0,6854083545668043066505947,0,0,0,0,1537070762133703.0,22466990932508126614841413339185152000,0.9425244506011932
2024-10-04 00:02:00,23837037774646019208879099,60738.16,2349.1,60738.16,24.59,1.0,1.0,1.0,180506188158744835475000000000000,42380023791338164262660501681201981,3020680884643992897053976776078343,2641347170152345816299250960491333,208539837586403463000000000000000,60773566000000000000000000000000000,22142229388144395189612072446114000,25608706789631239851469755604600,15317771981405512854011,9936547344039731614834,10082480513014870415126153959160000000,30335759356.0,30332917760.0,10084230104999443563900355,115233115456095402304672274758698673,1334664423329029416312,83468807360437241577,3482782560219838917774806,128675116476413321405981382012934149,1506259389.0,350810229.0,882086714053389090851341,34428942250.0,355760787.0,31492358647285923061617,522564442436791119313181011315650010,69162994226354380175203,25502585591431469831210,1712453910213866628802680,6879507292870.0,12585723041.0,6854083545668043066505947,0,0,0,0,1537070762133703.0,22466990932508126614841413339185152000,0.9425244506011932
2024-10-04 00:03:00,23837037774646019208879099,60754.612,2351.092,60754.612,24.64,1.0,1.0,1.0,180506188158744835475000000000000,42380023791338164262660501681201981,3020680884643992897053976776078343,2641347170152345816299250960491333,208539837586403463000000000000000,60773566000000000000000000000000000,22142229388144395189612072446114000,25608706789631239851469755604600,15317771981405512854011,9936547344039731614834,10082480513014870415126153959160000000,30335759356.0,30332917760.0,10084230104999443563900355,115233115456095402304672274758698673,1334664423329029416312,83468807360437241577,3482782560219838917774806,128675116476413321405981382012934149,1506259389.0,350810229.0,882086714053389090851341,53647279373.0,355760787.0,50710695770575923061617,522953861332870352413181011315650010,69160400346815470884511,25128372994016007913867,1712370764952643200851341,6879507292870.0,12585723041.0,6854083545668043066505947,0,0,0,0,1537070762133703.0,22498207665787019453637413755292745728,0.9438340400549673
2024-10-04 00:04:00,23837037774646019208879099,60754.612,2351.092,60754.612,24.64,1.0,1.0,1.0,180506188158744835475000000000000,42380023791338164262660501681201981,3020680884643992897053976776078343,2641347170152345816299250960491333,208539837586403463000000000000000,60773566000000000000000000000000000,22142229388144395189612072446114000,25608706789631239851469755604600,15317771981405512854011,9936547344039731614834,10082480513014870415126153959160000000,30335759356.0,30332917760.0,10084230104999443563900355,115233115456095402304672274758698673,1334664423329029416312,83468807360437241577,3482782560219838917774806,128675116476413321405981382012934149,1506259389.0,350810229.0,882086714053389090851341,53647279373.0,355760787.0,50710695770575923061617,522953861332870352413181011315650010,69160400346815470884511,25128372994016007913867,1712370764952643200851341,6879507292870.0,12585723041.0,6854083545668043066505947,0,0,0,0,1537070762133703.0,22498207665787019453637413755292745728,0.9438340400549673
2024-10-04 00:05:00,23837037774646019208879099,60754.612,2351.092,60754.612,24.64,1.0,1.0,1.0,180506188158744835475000000000000,42380023791338164262660501681201981,3020680884643992897053976776078343,2641347170152345816299250960491333,208539837586403463000000000000000,60773566000000000000000000000000000,22142229388144395189612072446114000,25608706789631239851469755604600,15317771981405512854011,9936547344039731614834,10082480513014870415126153959160000000,30335759356.0,30332917760.0,10084230104999443563900355,115233115456095402304672274758698673,1334664423329029416312,83468807360437241577,3482782560219838917774806,128675116476413321405981382012934149,1506259389.0,350810229.0,882086714053389090851341,53647279373.0,355760787.0,50710695770575923061617,522953861332870352413181011315650010,69160400346815470884511,25128372994016007913867,1712370764952643200851341,6879507292870.0,12585723041.0,6854083545668043066505947,0,0,0,0,1537070762133703.0,22498207665787019453637413755292745728,0.9438340400549673
2024-10-04 00:06:00,23837037774646019208879099,60771.01,2351.48,60771.01,24.662,1.0,1.0,1.0,180506188158744835475000000000000,42380023791338164262660501681201981,3020680884643992897053976776078343,2641347170152345816299250960491333,208539837586403463000000000000000,60773566000000000000000000000000000,22142229388144395189612072446114000,25608706789631239851469755604600,15317771981405512854011,9936547344039731614834,10082480513014870415126153959160000000,30335759356.0,30332917760.0,10084230104999443563900355,115233115456095402304672274758698673,1334664423329029416312,83468807360437241577,3482782560219838917774806,128675116476413321405981382012934149,1506259389.0,350810229.0,882086714053389090851341,53647279373.0,355760787.0,50710695770575923061617,522953861332870352413181011315650010,69160400346815470884511,25128372994016007913867,1712370764952643200851341,6879507292870.0,12585723041.0,6854083545668043066505947,0,0,0,0,1537070762133703.0,22498404705956614996676026837288091648,0.9438423061898561
2024-10-04 00:07:00,23837037774646019208879099,60736.75,2348.34,60736.75,24.625,1.0,1.0,1.0,180506188158744835475000000000000,42380023791338164262660501681201981,3020680884643992897053976776078343,2641347170152345816299250960491333,208539837586403463000000000000000,60773566000000000000000000000000000,22142229388144395189612072446114000,25608706789631239851469755604600,15317771981405512854011,9936547344039731614834,10082480513014870415126153959160000000,30335759356.0,30332917760.0,10084230104999443563900355,115233115456095402304672274758698673,1334664423329029416312,83468807360437241577,3482782560219838917774806,128675116476413321405981382012934149,1506259389.0,350810229.0,882086714053389090851341,53647279373.0,355760787.0,50710695770575923061617,522953861332870352413181011315650010,69160400346815470884511,25128372994016007913867,1712370764952643200851341,6879507292870.0,12585723041.0,6854083545668043066505947,0,0,0,0,1537070762133703.0,22494242017330122375875000219308392448,0.9436676750689154
2024-10-04 00:08:00,23837037774646019208879099,60736.75,2348.34,60736.75,24.625,1.0,1.0,1.0,180506188158744835475000000000000,42380023791338164262660501681201981,3020680884643992897053976776078343,2641347170152345816299250960491333,208539837586403463000000000000000,60773566000000000000000000000000000,22142229388144395189612072446114000,25608706789631239851469755604600,15317771981405512854011,9936547344039731614834,10082480513014870415126153959160000000,30335759356.0,30332917760.0,10084230104999443563900355,115233115456095402304672274758698673,1334664423329029416312,83468807360437241577,3482782560219838917774806,128675116476413321405981382012934149,1506259389.0,350810229.0,882086714053389090851341,53647279373.0,355760787.0,50710695770575923061617,522953861332870352413181011315650010,69160400346815470884511,25128372994016007913867,1712370764952643200851341,6879507292870.0,12585723041.0,6854083545668043066505947,0,0,0,0,1537070762133703.0,22494242017330122375875000219308392448,0.9436676750689154
2024-10-04 00:09:00,23837037774646019208879099,60684.36,2346.58,60684.36,24.56,1.0,1.0,1.0,180506188158744835475000000000000,42380023791338164262660501681201981,3020680884643992897053976776078343,2641347170152345816299250960491333,208539837586403463000000000000000,60773566000000000000000000000000000,22142229388144395189612072446114000,25608706789631239851469755604600,15317771981405512854011,9936547344039731614834,10082480513014870415126153959160000000,30335759356.0,30332917760.0,10084230104999443563900355,115233115456095402304672274758698673,1334664423329029416312,83468807360437241577,3482782560219838917774806,128675116476413321405981382012934149,1506259389.0,350810229.0,882086714053389090851341,53647279373.0,355760787.0,50710695770575923061617,522953861332870352413181011315650010,69160400346815470884511,25128372994016007913867,1712370764952643200851341,6879507292870.0,12585723041.0,6854083545668043066505947,0,0,0,0,1537070762133703.0,22491134627763730704241890497696628736,0.9435373153490639
